Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_,_3P,_3PA,_3P_,_2P,_2PA,_2P_,FT,FTA,FT_,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,string_field_29,ORtg,DRtg
147,Tyreke Evans\evansty01,SG,25,NOP,79,76,2690,10.2,22.8,0.447,1.3,4.4,0.304,8.8,18.3,0.482,3.9,5.7,0.694,1.6,6.5,8.1,10.2,2.0,0.7,4.8,3.9,25.6,,103,107
279,Kyle Lowry\lowryky01,PG,27,TOR,79,79,2862,8.3,19.7,0.423,3.5,9.1,0.38,4.9,10.6,0.46,5.7,7.0,0.813,1.6,5.1,6.7,10.7,2.2,0.3,3.5,4.9,25.9,,118,106
377,Andre Roberson\roberan03,SF,25,OKC,79,79,2376,4.4,9.6,0.464,0.9,3.8,0.245,3.5,5.8,0.609,1.0,2.3,0.423,2.0,6.3,8.3,1.6,1.9,1.6,1.1,4.2,10.8,,108,106
118,Ed Davis\davised01,PF,25,LAL,79,24,1840,7.8,13.0,0.601,0.0,0.0,,7.8,13.0,0.601,2.6,5.2,0.487,6.4,10.3,16.7,2.6,1.4,2.7,1.6,5.6,18.2,,124,107
256,Cory Joseph\josepco01,PG,23,SAS,79,14,1444,7.3,14.6,0.504,0.6,1.6,0.364,6.8,13.0,0.52,3.7,5.1,0.734,1.6,5.2,6.8,6.7,1.6,0.6,2.4,3.7,19.0,,115,104
220,Reggie Jackson\jacksre01,PG,25,DET,79,79,2424,11.2,25.9,0.434,2.5,7.0,0.353,8.8,18.9,0.464,6.1,7.0,0.864,1.2,4.1,5.3,10.2,1.2,0.2,4.6,3.9,31.0,,109,108
60,Chris Bosh\boshch01,C,29,MIA,79,79,2531,10.2,19.8,0.516,1.5,4.5,0.339,8.7,15.3,0.569,4.6,5.7,0.82,2.0,8.8,10.9,1.8,1.7,1.6,2.6,4.0,26.6,,112,104
228,Amir Johnson\johnsam01,PF,28,BOS,79,76,1800,6.7,11.5,0.585,0.3,1.2,0.233,6.5,10.4,0.624,1.9,3.3,0.57,4.8,8.9,13.7,3.7,1.4,2.2,2.5,5.8,15.6,,117,102
407,Marreese Speights\speigma01,C,26,GSW,79,3,982,9.9,22.5,0.441,0.4,1.6,0.258,9.5,20.9,0.455,5.6,6.8,0.821,5.1,9.6,14.7,1.6,0.5,1.7,3.4,7.5,25.8,,102,103
9,Lavoy Allen\allenla01,PF,26,IND,79,28,1599,5.9,11.5,0.516,0.0,0.0,,5.9,11.5,0.516,1.4,2.3,0.63,5.0,8.1,13.2,2.4,0.8,1.3,2.1,4.6,13.3,,110,104
300,Khris Middleton\middlkh01,SG,24,MIL,79,79,2852,9.1,20.4,0.444,2.6,6.4,0.396,6.5,13.9,0.466,4.9,5.6,0.888,0.8,4.6,5.4,5.9,2.3,0.3,3.2,3.6,25.6,,109,110
336,Kyle O'Quinn\oquinky01,C,26,NYK,79,8,1229,8.7,16.8,0.521,0.1,0.7,0.118,8.7,16.1,0.538,2.6,3.4,0.771,6.4,11.5,17.9,4.8,1.5,4.2,3.1,7.1,20.2,,114,105
210,Serge Ibaka\ibakase01,PF,27,TOT,79,79,2422,9.7,20.2,0.48,2.6,6.5,0.391,7.1,13.7,0.522,2.2,2.6,0.856,2.7,8.4,11.1,1.5,0.8,2.6,2.2,4.4,24.2,,109,109
98,Stephen Curry\curryst01,PG,28,GSW,79,79,2638,12.3,26.3,0.468,5.9,14.4,0.411,6.4,11.9,0.537,5.9,6.6,0.898,1.1,5.3,6.4,9.6,2.6,0.3,4.4,3.3,36.5,,119,105
230,Joe Ingles\inglejo01,SF,27,UTA,79,32,1673,4.7,11.2,0.415,2.3,6.4,0.356,2.4,4.8,0.493,1.0,1.3,0.75,0.7,4.9,5.6,5.8,2.3,0.3,3.1,3.9,12.6,,101,106
89,Jordan Clarkson\clarkjo01,SG,23,LAL,79,79,2552,9.3,21.6,0.433,2.2,6.3,0.347,7.2,15.3,0.468,3.2,4.0,0.804,1.8,4.3,6.2,3.8,1.7,0.1,2.7,3.3,24.1,,103,114
105,Stephen Curry\curryst01,PG,27,GSW,79,79,2700,14.4,28.6,0.504,7.2,15.9,0.454,7.2,12.7,0.566,6.5,7.2,0.908,1.2,6.5,7.7,9.4,3.0,0.3,4.7,2.9,42.5,,125,103
265,Courtney Lee\leeco01,SG,28,TOT,79,47,1973,7.9,16.5,0.48,1.9,5.2,0.371,6.0,11.3,0.531,2.7,3.0,0.884,0.8,4.2,5.0,3.1,1.7,0.8,2.0,3.4,20.4,,113,107
260,Courtney Lee\leeco01,SG,30,TOT,79,65,2334,6.3,14.0,0.454,1.8,4.7,0.378,4.5,9.2,0.493,2.2,2.6,0.839,0.6,3.8,4.5,3.0,1.9,0.6,1.6,2.9,16.6,,109,109
394,Dennis Schroder\schrode01,PG,23,ATL,79,78,2485,10.9,24.1,0.451,2.0,5.8,0.34,8.9,18.2,0.487,4.3,5.1,0.855,0.8,4.1,4.9,9.9,1.5,0.3,5.1,3.0,28.0,,103,109
343,Kelly Oubre\oubreke01,SF,21,WAS,79,5,1605,5.7,13.6,0.421,1.7,5.8,0.287,4.1,7.8,0.52,2.3,3.0,0.758,1.9,6.1,8.0,1.4,1.8,0.5,1.5,6.0,15.4,,104,110
309,Greg Monroe\monrogr01,C,25,MIL,79,67,2314,10.8,20.7,0.522,0.0,0.0,0.0,10.8,20.7,0.522,5.0,6.8,0.74,4.8,10.5,15.3,3.9,1.6,1.5,2.8,3.6,26.6,,113,106
53,Bojan Bogdanovic\bogdabo02,SF,26,BRK,79,39,2115,7.7,17.8,0.433,3.1,8.1,0.382,4.6,9.8,0.474,2.6,3.1,0.833,0.9,5.2,6.1,2.4,0.7,0.1,2.7,2.8,21.1,,102,115
