Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_,_3P,_3PA,_3P_,_2P,_2PA,_2P_,FT,FTA,FT_,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,string_field_29,ORtg,DRtg
291,Eric Maynor\maynoer01,PG,26,WAS,23,0,215,5.0,17.2,0.292,1.9,6.0,0.32,3.1,11.3,0.277,0.5,0.7,0.667,1.7,4.1,5.7,9.6,1.2,0.2,4.1,3.1,12.5,,83,108
291,Eric Maynor\maynoer01,PG,26,PHI,8,0,112,4.8,12.5,0.379,1.7,5.2,0.333,3.0,7.3,0.412,1.7,3.5,0.5,0.9,5.6,6.5,5.2,1.7,0.9,5.2,1.7,13.0,,79,111
399,Chris Smith\smithch05,PG,26,NYK,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,119
90,Wilson Chandler\chandwi01,SF,26,DEN,62,55,1927,7.8,18.7,0.416,3.1,8.9,0.348,4.7,9.8,0.478,2.8,3.9,0.724,1.5,6.0,7.5,2.9,1.2,0.8,2.0,4.9,21.5,,107,110
114,Luigi Datome\datomlu01,SF,26,DET,34,0,238,7.2,20.6,0.351,1.5,8.3,0.179,5.7,12.3,0.466,1.7,2.1,0.8,3.0,6.8,9.8,2.3,1.3,0.2,2.3,4.2,17.6,,90,112
120,Nando De Colo\decolna01,SF,26,TOT,47,3,494,6.6,15.9,0.418,1.9,5.5,0.34,4.8,10.4,0.46,3.2,3.6,0.886,1.5,6.1,7.6,6.7,2.3,0.6,3.6,5.0,18.3,,103,103
120,Nando De Colo\decolna01,SF,26,SAS,26,3,301,7.1,15.6,0.452,1.7,5.2,0.323,5.4,10.4,0.516,3.0,3.7,0.818,1.0,6.5,7.6,5.4,2.5,0.5,3.5,4.2,18.8,,102,101
120,Nando De Colo\decolna01,SF,26,TOR,21,0,193,6.0,16.2,0.367,2.2,6.0,0.364,3.8,10.3,0.368,3.5,3.5,1.0,2.2,5.4,7.6,8.9,1.9,0.8,3.8,6.2,17.6,,105,105
135,Shane Edwards\edwarsh01,SF,26,CLE,2,0,12,4.3,12.9,0.333,0.0,0.0,,4.3,12.9,0.333,0.0,0.0,,4.3,4.3,8.6,0.0,0.0,0.0,4.3,4.3,8.6,,64,114
139,Jeremy Evans\evansje01,SF,26,UTA,66,4,1209,7.6,14.4,0.527,0.0,0.1,0.0,7.6,14.3,0.53,2.2,3.3,0.68,5.2,8.3,13.5,1.9,1.8,2.0,1.7,6.0,17.4,,114,109
162,Alonzo Gee\geeal01,SF,26,CLE,65,24,1020,5.0,11.9,0.415,1.0,2.9,0.328,4.0,9.0,0.444,2.2,3.1,0.705,1.8,5.8,7.5,2.4,2.0,0.8,2.2,4.9,13.0,,97,107
225,Damion James\jamesda01,SF,26,SAS,5,1,50,2.0,9.1,0.222,0.0,2.0,0.0,2.0,7.1,0.286,2.0,2.0,1.0,1.0,11.1,12.1,3.0,0.0,1.0,1.0,3.0,6.1,,79,104
237,James Johnson\johnsja01,SF,26,MEM,52,4,956,8.0,17.2,0.464,1.2,4.9,0.253,6.8,12.3,0.548,4.2,5.0,0.844,3.4,5.9,9.3,6.2,2.3,3.2,3.7,5.7,21.5,,110,101
240,Wesley Johnson\johnswe01,SF,26,LAL,79,62,2240,6.0,14.1,0.425,2.2,5.9,0.369,3.8,8.3,0.466,1.3,1.7,0.792,1.5,6.0,7.6,2.7,1.9,1.7,2.0,4.5,15.5,,100,110
136,Wayne Ellington\ellinwa01,SG,26,DAL,45,1,393,7.2,16.5,0.437,3.3,7.7,0.424,3.9,8.7,0.448,1.3,1.4,0.909,1.0,4.6,5.6,2.5,2.1,0.3,1.4,4.3,18.9,,110,110
175,Danny Green\greenda02,SG,26,SAS,68,59,1651,6.7,15.5,0.432,4.0,9.7,0.415,2.6,5.7,0.46,1.5,1.9,0.794,0.8,6.2,7.0,3.2,2.0,1.9,2.3,3.3,18.9,,107,101
199,Gerald Henderson\hendege02,SG,26,CHA,77,77,2461,8.5,19.6,0.433,0.8,2.4,0.348,7.7,17.2,0.445,5.0,6.5,0.761,0.7,5.9,6.5,4.2,1.1,0.7,2.4,3.4,22.8,,101,106
292,O.J. Mayo\mayooj01,SG,26,MIL,52,23,1346,8.7,21.4,0.407,3.3,8.8,0.37,5.4,12.6,0.433,3.0,3.4,0.864,0.9,3.9,4.8,4.4,1.1,0.5,3.7,4.3,23.6,,98,115
299,Jodie Meeks\meeksjo01,SG,26,LAL,77,70,2556,7.9,17.0,0.463,3.1,7.7,0.401,4.8,9.3,0.514,4.2,4.9,0.857,0.6,3.1,3.7,2.6,2.1,0.1,2.1,2.3,23.0,,112,113
